Entity,Code,Year,9th,8th,7th,6th,4th,3rd,2nd,5th,1st
Australia,AUS,1981,100,100,100,100,100,100,100,100,100
Australia,AUS,1985,100.0259456,98.97396436,98.87776798,100.0887417,98.351674,96.83940361,96.28583264,99.66774945,99.18362268
Australia,AUS,1989,104.3667678,102.585414,102.2873307,102.1568082,99.29495481,97.67276616,98.07000337,100.593544,98.65739691
Australia,AUS,1995,96.29778816,95.7366529,94.87914374,94.35918261,89.39107047,86.9220302,87.3649714,92.35002259,92.98323214
Australia,AUS,2001,110.5604638,106.2296969,105.9985823,106.0988589,99.65216006,97.06939605,95.60025453,103.8033933,101.6607242
Australia,AUS,2003,111.890035,109.7123843,108.3597485,107.6702515,103.4026559,99.79245204,99.4213227,104.930553,102.8264847
Australia,AUS,2008,152.8788952,145.2780081,142.4036227,142.6773403,140.5351995,136.5996665,133.296261,142.8516803,133.7603595
Australia,AUS,2010,155.2445179,148.0874961,146.5909744,144.6382865,139.948372,135.7876982,132.0249421,141.928183,134.9862982
Austria,AUT,1994,100,100,100,100,100,100,100,100,100
Austria,AUT,1997,95.06510038,95.86370974,94.78113264,96.5192545,97.25039278,95.49598245,96.80534922,96.95364126,98.11156928
Austria,AUT,2000,97.90654232,99.10614045,98.8087916,101.3794347,103.0784664,101.5949079,102.948523,103.0610591,107.477285
Austria,AUT,2004,108.0192724,107.9930542,105.0067762,107.3519743,109.1715065,109.6672349,110.8144352,109.5811116,116.4929884
Belgium,BEL,1985,100,100,100,100,100,100,100,100,100
Belgium,BEL,1988,104.5772409,104.1045318,103.8681839,104.3284686,105.0072516,105.078068,103.7706497,104.2755191,103.2258299
Belgium,BEL,1992,110.6978076,110.7902092,112.6796957,111.4467166,111.5585546,111.8198303,110.4682208,110.5914968,108.9825059
Belgium,BEL,1995,130.8540141,129.2610017,129.5272565,126.8581005,124.366768,121.8116675,117.5807297,126.8547871,110.1411476
Belgium,BEL,1997,130.3086071,129.791667,128.9421248,126.9650626,122.8955727,123.0473187,119.3354236,124.2677036,111.5108495
Belgium,BEL,2000,143.1325431,137.9051739,135.691697,135.6339622,132.1402704,129.1162085,122.3433707,133.5725718,117.8558893
Canada,CAN,1981,100,100,100,100,100,100,100,100,100
Canada,CAN,1987,103.3134534,101.6020911,102.0806623,102.250408,103.0616227,102.2507302,104.8886251,102.6898834,107.9155011
Canada,CAN,1991,101.6928939,101.9450144,101.9718273,102.6612058,102.4122536,101.9822947,106.4860358,101.9486861,109.2550079
Canada,CAN,1994,103.1873108,102.8567364,102.6138466,102.4370276,102.1608739,101.4252336,104.5063923,102.0228968,107.7229146
Canada,CAN,1997,103.8831994,102.992431,102.6862053,102.6217951,101.5427227,99.71926149,102.3924651,101.8580185,105.5083096
Canada,CAN,1998,107.7836105,105.9266722,105.5188384,104.9574883,102.6005124,100.5055643,101.8103816,103.8744426,103.4141571
Canada,CAN,2000,108.8876201,107.0222981,105.4355213,104.3481539,102.1566576,100.5449338,103.1314354,102.9098545,105.8541714
Canada,CAN,2004,117.6853014,114.3143032,112.3552486,112.1113269,108.7159438,107.0642687,107.306213,109.8558519,109.4448243
Canada,CAN,2007,126.7117651,123.6021497,121.8175932,121.092224,117.8702412,116.6675528,118.6030944,119.3497673,123.8745594
Canada,CAN,2010,129.3069685,127.7054001,125.4186604,124.3945303,121.8220195,119.2330194,119.4821667,123.3086468,125.6921954
Czech Republic,CZE,1992,100,100,100,100,100,100,100,100,100
Czech Republic,CZE,1996,133.8367394,128.5242343,124.3893656,120.9901945,113.3825952,111.9686021,109.3021004,116.7752983,106.1458454
Czech Republic,CZE,2002,144.7708807,135.1174807,130.8343251,127.4397657,121.7965311,119.7407247,115.7731372,123.5631564,114.158007
Czech Republic,CZE,2004,160.7103653,151.2458383,144.8937287,139.8984556,131.615258,128.881126,125.5357641,133.738334,118.217745
Czech Republic,CZE,2007,182.5737921,173.6729604,168.2032518,165.4304242,156.0439327,153.3856648,149.6162747,160.5978884,144.9896322
Czech Republic,CZE,2010,188.9095512,179.6417862,174.5744147,171.2851149,160.3309043,157.855548,154.5244731,165.8299864,146.1228905
Denmark,DNK,1987,100,100,100,100,100,100,100,100,100
Denmark,DNK,1992,93.81502031,96.48691946,97.72227562,97.81545376,97.21347962,98.14324544,101.2422246,96.9316319,105.7937646
Denmark,DNK,1995,99.22407344,102.2987505,102.8497234,103.6260441,104.6842916,107.4007888,112.3672782,103.7180808,120.4390875
Denmark,DNK,2000,105.9176876,108.9097984,109.6078947,109.9027231,110.6707023,113.1917121,117.3040027,109.7020288,124.9279327
Denmark,DNK,2004,111.8445004,115.3324933,115.5183602,115.5350894,115.6368733,117.8043374,122.2593727,115.1882533,130.5239138
Denmark,DNK,2007,117.383841,120.0672006,120.3330337,120.5861418,120.7495262,122.6120996,126.7393747,120.3360453,134.4342226
Denmark,DNK,2010,122.2421085,124.5771533,124.1493491,123.2972515,121.2285748,122.9685014,128.6198812,121.8359237,137.0079441
Estonia,EST,2000,100,100,100,100,100,100,100,100,100
Estonia,EST,2004,125.7895755,131.9047914,130.8347188,129.1486868,131.2262791,130.9306172,130.3258376,132.3241955,131.7472899
Estonia,EST,2007,183.2871101,191.9206762,195.5734105,199.3187623,206.8037426,203.5947937,201.7036218,205.5738766,203.990263
Estonia,EST,2010,166.0813432,175.5770828,179.8847473,179.2206233,180.6728989,182.7291269,182.668291,181.4632564,186.3932893
Finland,FIN,1987,100,100,100,100,100,100,100,100,100
Finland,FIN,1991,111.3646519,111.1907916,111.0737621,110.3407746,110.0567001,111.4583061,111.3418278,109.5616028,109.2668754
